amd,rcm,padding,matrix_name,partial_gauss,_step,n,rank,_runtime,max_mode_size,z,tile_size,_timestamp,run_id,run_name
False,False,10,ex15,10,0.0,6867.0,33252.0,3.3496365547180176,109.0,98623.0,3.0,1718228029.5607827,wx2fpbu3,sandy-sweep-2420
False,False,10,ex15,10,1.0,6867.0,8766.0,3.8183844089508057,109.0,98623.0,7.0,1718228030.0295305,wx2fpbu3,sandy-sweep-2420
False,False,10,ex15,10,2.0,6867.0,6816.0,4.193388223648071,109.0,98623.0,9.0,1718228030.4045343,wx2fpbu3,sandy-sweep-2420
False,False,10,ex15,10,3.0,6867.0,2921.0,4.460305690765381,109.0,98623.0,21.0,1718228030.6714518,wx2fpbu3,sandy-sweep-2420
False,False,10,ex15,10,4.0,6867.0,539.0,4.61659049987793,109.0,98623.0,63.0,1718228030.8277366,wx2fpbu3,sandy-sweep-2420
False,False,10,ex15,10,5.0,6867.0,187.0,4.757216691970825,109.0,98623.0,109.0,1718228030.9683628,wx2fpbu3,sandy-sweep-2420
False,False,10,ex15,10,6.0,6867.0,61.0,4.866590261459351,327.0,98623.0,327.0,1718228031.0777364,wx2fpbu3,sandy-sweep-2420
False,False,10,ex15,10,7.0,6867.0,25.0,5.007214546203613,763.0,98623.0,763.0,1718228031.2183607,wx2fpbu3,sandy-sweep-2420
False,False,10,ex15,10,8.0,6867.0,19.0,5.194719076156616,981.0,98623.0,981.0,1718228031.4058652,wx2fpbu3,sandy-sweep-2420
False,False,10,ex15,10,9.0,6867.0,7.0,5.3821799755096436,2289.0,98623.0,2289.0,1718228031.593326,wx2fpbu3,sandy-sweep-2420
False,False,10,ex15,10,10.0,6867.0,1.0,5.585318088531494,6867.0,98623.0,6867.0,1718228031.7964642,wx2fpbu3,sandy-sweep-2420
False,True,10,ex15,10,0.0,6867.0,59582.0,3.5333571434020996,109.0,98623.0,3.0,1718228014.131688,orxjpn07,jolly-sweep-2419
False,True,10,ex15,10,1.0,6867.0,24438.0,4.048977375030518,109.0,98623.0,7.0,1718228014.6473083,orxjpn07,jolly-sweep-2419
False,True,10,ex15,10,2.0,6867.0,16338.0,4.439602851867676,109.0,98623.0,9.0,1718228015.0379338,orxjpn07,jolly-sweep-2419
False,True,10,ex15,10,3.0,6867.0,6991.0,4.720859527587891,109.0,98623.0,21.0,1718228015.3191905,orxjpn07,jolly-sweep-2419
False,True,10,ex15,10,4.0,6867.0,1701.0,4.892730474472046,109.0,98623.0,63.0,1718228015.4910614,orxjpn07,jolly-sweep-2419
False,True,10,ex15,10,5.0,6867.0,619.0,5.034566164016724,109.0,98623.0,109.0,1718228015.6328971,orxjpn07,jolly-sweep-2419
False,True,10,ex15,10,6.0,6867.0,85.0,5.15959906578064,327.0,98623.0,327.0,1718228015.75793,orxjpn07,jolly-sweep-2419
False,True,10,ex15,10,7.0,6867.0,25.0,5.315848112106323,763.0,98623.0,763.0,1718228015.914179,orxjpn07,jolly-sweep-2419
False,True,10,ex15,10,8.0,6867.0,19.0,5.4877259731292725,981.0,98623.0,981.0,1718228016.086057,orxjpn07,jolly-sweep-2419
False,True,10,ex15,10,9.0,6867.0,7.0,5.6752259731292725,2289.0,98623.0,2289.0,1718228016.273557,orxjpn07,jolly-sweep-2419
False,True,10,ex15,10,10.0,6867.0,1.0,5.878370761871338,6867.0,98623.0,6867.0,1718228016.4767017,orxjpn07,jolly-sweep-2419
False,False,10,ex15,9,0.0,6868.0,47685.0,3.816666603088379,101.0,98600.0,2.0,1718227999.0241866,6kg7r1cd,northern-sweep-2418
False,False,10,ex15,9,1.0,6868.0,16263.0,4.631563425064087,101.0,98600.0,4.0,1718227999.8390834,6kg7r1cd,northern-sweep-2418
False,False,10,ex15,9,2.0,6868.0,2796.0,4.834656715393066,101.0,98600.0,17.0,1718228000.0421767,6kg7r1cd,northern-sweep-2418
False,False,10,ex15,9,3.0,6868.0,1004.0,5.053403377532959,101.0,98600.0,34.0,1718228000.2609234,6kg7r1cd,northern-sweep-2418
False,False,10,ex15,9,4.0,6868.0,301.0,5.194028377532959,101.0,98600.0,68.0,1718228000.4015484,6kg7r1cd,northern-sweep-2418
False,False,10,ex15,9,5.0,6868.0,202.0,5.335893154144287,101.0,98600.0,101.0,1718228000.5434132,6kg7r1cd,northern-sweep-2418
False,False,10,ex15,9,6.0,6868.0,100.0,5.460893630981445,202.0,98600.0,202.0,1718228000.6684136,6kg7r1cd,northern-sweep-2418
False,False,10,ex15,9,7.0,6868.0,49.0,5.570301294326782,404.0,98600.0,404.0,1718228000.7778213,6kg7r1cd,northern-sweep-2418
False,False,10,ex15,9,8.0,6868.0,10.0,5.757802963256836,1717.0,98600.0,1717.0,1718228000.965323,6kg7r1cd,northern-sweep-2418
False,False,10,ex15,9,9.0,6868.0,4.0,5.960903644561768,3434.0,98600.0,3434.0,1718228001.1684237,6kg7r1cd,northern-sweep-2418
False,False,10,ex15,9,10.0,6868.0,1.0,6.164078235626221,6868.0,98600.0,6868.0,1718228001.3715982,6kg7r1cd,northern-sweep-2418
False,True,10,ex15,9,0.0,6868.0,79987.0,4.097492694854736,101.0,98600.0,2.0,1718227983.6788898,cvuwk4wd,spring-sweep-2417
False,True,10,ex15,9,1.0,6868.0,44405.0,4.989321708679199,101.0,98600.0,4.0,1718227984.5707188,cvuwk4wd,spring-sweep-2417
False,True,10,ex15,9,2.0,6868.0,8730.0,5.208073139190674,101.0,98600.0,17.0,1718227984.7894702,cvuwk4wd,spring-sweep-2417
False,True,10,ex15,9,3.0,6868.0,3936.0,5.42682147026062,101.0,98600.0,34.0,1718227985.0082185,cvuwk4wd,spring-sweep-2417
False,True,10,ex15,9,4.0,6868.0,1427.0,5.59869909286499,101.0,98600.0,68.0,1718227985.1800961,cvuwk4wd,spring-sweep-2417
False,True,10,ex15,9,5.0,6868.0,708.0,5.7393269538879395,101.0,98600.0,101.0,1718227985.320724,cvuwk4wd,spring-sweep-2417
False,True,10,ex15,9,6.0,6868.0,218.0,5.864326238632202,202.0,98600.0,202.0,1718227985.4457233,cvuwk4wd,spring-sweep-2417
False,True,10,ex15,9,7.0,6868.0,61.0,5.9906394481658936,404.0,98600.0,404.0,1718227985.5720365,cvuwk4wd,spring-sweep-2417
False,True,10,ex15,9,8.0,6868.0,10.0,6.178152561187744,1717.0,98600.0,1717.0,1718227985.7595496,cvuwk4wd,spring-sweep-2417
False,True,10,ex15,9,9.0,6868.0,4.0,6.381259202957153,3434.0,98600.0,3434.0,1718227985.9626563,cvuwk4wd,spring-sweep-2417
False,True,10,ex15,9,10.0,6868.0,1.0,6.584360122680664,6868.0,98600.0,6868.0,1718227986.1657572,cvuwk4wd,spring-sweep-2417
False,False,10,ex15,8,0.0,6869.0,1.0,2.3173351287841797,6869.0,98603.0,6869.0,1718227971.452289,6u5740lo,worthy-sweep-2416
False,True,10,ex15,8,0.0,6869.0,1.0,2.393789052963257,6869.0,98603.0,6869.0,1718227960.836437,fql2o6ve,honest-sweep-2415
False,False,10,ex15,7,0.0,6870.0,47698.0,3.727245330810547,229.0,98624.0,2.0,1718227946.8057704,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,1.0,6870.0,33257.0,4.805371284484863,229.0,98624.0,3.0,1718227947.8838964,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,2.0,6870.0,12964.0,5.461593389511108,229.0,98624.0,5.0,1718227948.5401185,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,3.0,6870.0,12280.0,6.009662389755249,229.0,98624.0,6.0,1718227949.0881875,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,4.0,6870.0,5186.0,6.337617874145508,229.0,98624.0,10.0,1718227949.416143,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,5.0,6870.0,4050.0,6.571989059448242,229.0,98624.0,15.0,1718227949.6505141,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,6.0,6870.0,1591.0,6.790740013122559,229.0,98624.0,30.0,1718227949.869265,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,7.0,6870.0,88.0,6.915739059448242,229.0,98624.0,229.0,1718227949.9942641,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,8.0,6870.0,43.0,7.025079250335693,458.0,98624.0,458.0,1718227950.1036043,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,9.0,6870.0,28.0,7.166227102279663,687.0,98624.0,687.0,1718227950.2447522,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,10.0,6870.0,16.0,7.353658676147461,1145.0,98624.0,1145.0,1718227950.4321837,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,11.0,6870.0,13.0,7.556751251220703,1374.0,98624.0,1374.0,1718227950.6352763,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,12.0,6870.0,7.0,7.7402184009552,2290.0,98624.0,2290.0,1718227950.8187435,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,13.0,6870.0,4.0,7.943339824676514,3435.0,98624.0,3435.0,1718227951.021865,421tp1pp,devoted-sweep-2414
False,False,10,ex15,7,14.0,6870.0,1.0,8.162118911743164,6870.0,98624.0,6870.0,1718227951.240644,421tp1pp,devoted-sweep-2414
False,True,10,ex15,7,0.0,6870.0,79668.0,4.064412593841553,229.0,98624.0,2.0,1718227931.6231356,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,1.0,6870.0,58999.0,5.314415693283081,229.0,98624.0,3.0,1718227932.8731387,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,2.0,6870.0,33730.0,6.048818111419678,229.0,98624.0,5.0,1718227933.607541,1janpg4z,dauntless-sweep-2413
False,True,10,ex15,7,3.0,6870.0,29216.0,6.643754005432129,229.0,98624.0,6.0,1718227934.202477,1janpg4z,dauntless-sweep-2413
