amd,rcm,padding,matrix_name,partial_gauss,_runtime,rank,tile_size,max_mode_size,n,z,r2mode6,_step,_timestamp,run_id,run_name
False,False,3,ex15,3,2.6565730571746826,19818.0,3.0,109.0,6867.0,98640.0,6.58686307793549e+20,0.0,1718132403.952341,hvhmz7a0,peach-sweep-320
False,False,3,ex15,3,3.142495632171631,8771.0,7.0,109.0,6867.0,98640.0,1.2902005112814702e+20,1.0,1718132404.4382637,hvhmz7a0,peach-sweep-320
False,False,3,ex15,3,3.512465000152588,6821.0,9.0,109.0,6867.0,98640.0,7.802882851809291e+19,2.0,1718132404.808233,hvhmz7a0,peach-sweep-320
False,False,3,ex15,3,3.794020414352417,2921.0,21.0,109.0,6867.0,98640.0,1.4309422326822126e+19,3.0,1718132405.0897884,hvhmz7a0,peach-sweep-320
False,False,3,ex15,3,3.954442024230957,539.0,63.0,109.0,6867.0,98640.0,4.8723280130163814e+17,4.0,1718132405.25021,hvhmz7a0,peach-sweep-320
False,False,3,ex15,3,4.092660188674927,187.0,109.0,109.0,6867.0,98640.0,5.864651377599893e+16,5.0,1718132405.3884282,hvhmz7a0,peach-sweep-320
False,False,3,ex15,3,4.208615303039551,61.0,327.0,327.0,6867.0,98640.0,1866307353.0,6.0,1718132405.5043833,hvhmz7a0,peach-sweep-320
False,False,3,ex15,3,4.362722158432007,25.0,763.0,763.0,6867.0,98640.0,-1513428743.0,7.0,1718132405.6584902,hvhmz7a0,peach-sweep-320
False,False,3,ex15,3,4.564067602157593,19.0,981.0,981.0,6867.0,98640.0,1643373585.0,8.0,1718132405.8598356,hvhmz7a0,peach-sweep-320
False,False,3,ex15,3,4.762780666351318,7.0,2289.0,2289.0,6867.0,98640.0,-1333853487.0,9.0,1718132406.0585487,hvhmz7a0,peach-sweep-320
False,False,3,ex15,3,4.978067398071289,1.0,6867.0,6867.0,6867.0,98640.0,1805667961.0,10.0,1718132406.2738354,hvhmz7a0,peach-sweep-320
False,True,3,ex15,3,2.944375514984131,60010.0,3.0,109.0,6867.0,98640.0,6.03957308687062e+21,0.0,1718132383.8456826,czquyj61,likely-sweep-319
False,True,3,ex15,3,3.473240613937378,24975.0,7.0,109.0,6867.0,98640.0,1.046092242324643e+21,1.0,1718132384.3745477,czquyj61,likely-sweep-319
False,True,3,ex15,3,3.8922340869903564,15185.0,9.0,109.0,6867.0,98640.0,3.8671282930568607e+20,2.0,1718132384.7935412,czquyj61,likely-sweep-319
False,True,3,ex15,3,4.200563192367554,6807.0,21.0,109.0,6867.0,98640.0,7.770885123374534e+19,3.0,1718132385.1018703,czquyj61,likely-sweep-319
False,True,3,ex15,3,4.380246639251709,1695.0,63.0,109.0,6867.0,98640.0,4.818350545948964e+18,4.0,1718132385.2815537,czquyj61,likely-sweep-319
False,True,3,ex15,3,4.524884462356567,621.0,109.0,109.0,6867.0,98640.0,6.46758563844834e+17,5.0,1718132385.4261916,czquyj61,likely-sweep-319
False,True,3,ex15,3,4.652153730392456,85.0,327.0,327.0,6867.0,98640.0,186417097.0,6.0,1718132385.5534608,czquyj61,likely-sweep-319
False,True,3,ex15,3,4.828280448913574,25.0,763.0,763.0,6867.0,98640.0,-1513428743.0,7.0,1718132385.7295876,czquyj61,likely-sweep-319
False,True,3,ex15,3,5.0273756980896,19.0,981.0,981.0,6867.0,98640.0,1643373585.0,8.0,1718132385.9286828,czquyj61,likely-sweep-319
False,True,3,ex15,3,5.224293947219849,7.0,2289.0,2289.0,6867.0,98640.0,-1333853487.0,9.0,1718132386.125601,czquyj61,likely-sweep-319
