amd,rcm,padding,matrix_name,partial_gauss,r2mode6,_timestamp,n,rank,z,_runtime,_step,tile_size,max_mode_size,run_id,run_name
False,False,7,ex15,7,1.854919763571155e+21,1718177697.1766446,6867.0,33257.0,98624.0,3.2566025257110596,0.0,3.0,109.0,gsht1z4p,frosty-sweep-320
False,False,7,ex15,7,1.1052412404503516e+20,1718177697.6718004,6867.0,8118.0,98624.0,3.751758337020874,1.0,7.0,109.0,gsht1z4p,frosty-sweep-320
False,False,7,ex15,7,7.802882851809291e+19,1718177698.0819962,6867.0,6821.0,98624.0,4.161954164505005,2.0,9.0,109.0,gsht1z4p,frosty-sweep-320
False,False,7,ex15,7,1.4309422326822126e+19,1718177698.402113,6867.0,2921.0,98624.0,4.4820709228515625,3.0,21.0,109.0,gsht1z4p,frosty-sweep-320
False,False,7,ex15,7,4.8723280130163814e+17,1718177698.6408908,6867.0,539.0,98624.0,4.720848798751831,4.0,63.0,109.0,gsht1z4p,frosty-sweep-320
False,False,7,ex15,7,5.864651377599893e+16,1718177698.8495383,6867.0,187.0,98624.0,4.9294962882995605,5.0,109.0,109.0,gsht1z4p,frosty-sweep-320
False,False,7,ex15,7,1866307353.0,1718177699.025928,6867.0,61.0,98624.0,5.105885982513428,6.0,327.0,327.0,gsht1z4p,frosty-sweep-320
False,False,7,ex15,7,-1513428743.0,1718177699.2261367,6867.0,25.0,98624.0,5.306094646453857,7.0,763.0,763.0,gsht1z4p,frosty-sweep-320
False,False,7,ex15,7,1643373585.0,1718177699.4359348,6867.0,19.0,98624.0,5.515892744064331,8.0,981.0,981.0,gsht1z4p,frosty-sweep-320
False,False,7,ex15,7,-1333853487.0,1718177699.6609738,6867.0,7.0,98624.0,5.740931749343872,9.0,2289.0,2289.0,gsht1z4p,frosty-sweep-320
False,False,7,ex15,7,1805667961.0,1718177699.8917496,6867.0,1.0,98624.0,5.971707582473755,10.0,6867.0,6867.0,gsht1z4p,frosty-sweep-320
False,True,7,ex15,7,5.837787589701542e+21,1718177676.4888215,6867.0,58999.0,98624.0,3.12709641456604,0.0,3.0,109.0,ttgrq3rk,classic-sweep-319
False,True,7,ex15,7,8.395493991261475e+20,1718177677.0123622,6867.0,22374.0,98624.0,3.650637149810791,1.0,7.0,109.0,ttgrq3rk,classic-sweep-319
False,True,7,ex15,7,4.4040988523457105e+20,1718177677.429129,6867.0,16205.0,98624.0,4.067403793334961,2.0,9.0,109.0,ttgrq3rk,classic-sweep-319
False,True,7,ex15,7,6.152818936435137e+19,1718177677.7205892,6867.0,6057.0,98624.0,4.358864068984985,3.0,21.0,109.0,ttgrq3rk,classic-sweep-319
False,True,7,ex15,7,3.115664595816974e+18,1718177677.8903856,6867.0,1363.0,98624.0,4.528660535812378,4.0,63.0,109.0,ttgrq3rk,classic-sweep-319
